Symbol	Name	Pinyi	Initial
000001	平安银行	PingAnYinXing	PAYX
000002	万科A	WanKe	WK
000003	PT金田A	JinTian	JT
000004	国农科技	GuoNongKeJi	GNKJ
000005	世纪星源	ShiJiXingYuan	SJXY
000006	深振业A	ShenZhenYe	SZY
000007	零七股份	LingQiGuFen	LQGF
000008	ST宝利来	BaoLiLai	BLL
000009	中国宝安	ZhongGuoBaoAn	ZGBA
000010	SST华新	HuaXin	HX
000011	深物业A	ShenWuYe	SWY
000012	南玻A	NanBo	NB
000013	*ST石化A	ShiHua	SH
000014	沙河股份	ShaHeGuFen	SHGF
000015	PT中浩A	ZhongHao	ZH
000016	深康佳A	ShenKangJia	SKJ
000017	*ST中华A	ZhongHua	ZH
000018	ST中冠A	ZhongGuan	ZG
000019	深深宝A	ShenShenBao	SSB
000020	深华发A	ShenHuaFa	SHF
000021	长城开发	ChangChengKaiFa	CCKF
000022	深赤湾A	ShenChiWan	SCW
000023	深天地A	ShenTianDi	STD
000024	招商地产	ZhaoShangDiChan	ZSDC
000025	特力A	TeLi	TL
000026	飞亚达A	FeiYaDa	FYD
000027	深圳能源	ShenZhenNengYuan	SZNY
000028	国药一致	GuoYaoYiZhi	GYYZ
000029	深深房A	ShenShenFang	SSF
000030	*ST盛润A	ShengRun	SR
000031	中粮地产	ZhongLiangDiChan	ZLDC
000032	深桑达A	ShenSangDa	SSD
000033	新都酒店	XinDouJiuDian	XDJD
000034	深信泰丰	ShenXinTaiFeng	SXTF
000035	*ST科健	KeJian	KJ
000036	华联控股	HuaLianKongGu	HLKG
000037	深南电A	ShenNanDian	SND
000038	S*ST大通	DaTong	DT
000039	中集集团	ZhongJiJiTuan	ZJJT
000040	宝安地产	BaoAnDiChan	BADC
000042	深长城	ShenChangCheng	SCC
000043	中航地产	ZhongHangDiChan	ZHDC
000045	深纺织A	ShenFangZhi	SFZ
000046	泛海建设	FanHaiJianShe	FHJS
000047	ST中侨	ZhongQiao	ZQ
000048	康达尔	KangDaEr	KDE
000049	德赛电池	DeSaiDianChi	DSDC
000050	深天马A	ShenTianMa	STM
000055	方大集团	FangDaJiTuan	FDJT
000056	*ST国商	GuoShang	GS
000058	深赛格	ShenSaiGe	SSG
000059	辽通化工	LiaoTongHuaGong	LTHG
000060	中金岭南	ZhongJinLingNan	ZJLN
000061	农产品	NongChanPin	NCP
000062	深圳华强	ShenZhenHuaQiang	SZHQ
000063	中兴通讯	ZhongXingTongXun	ZXTX
000065	北方国际	BeiFangGuoJi	BFGJ
000066	长城电脑	ChangChengDianNao	CCDN
000068	ST三星	SanXing	SX
000069	华侨城A	HuaQiaoCheng	HQC
000070	特发信息	TeFaXinXi	TFXX
000078	海王生物	HaiWangShengWu	HWSW
000088	盐田港	YanTianGang	YTG
000089	深圳机场	ShenZhenJiChang	SZJC
000090	深天健	ShenTianJian	STJ
000096	广聚能源	GuangJuNengYuan	GJNY
000099	中信海直	ZhongXinHaiZhi	ZXHZ
000100	TCL集团	TCLJiTuan	TCLJT
000150	宜华地产	YiHuaDiChan	YHDC
000151	中成股份	ZhongChengGuFen	ZCGF
000153	丰原药业	FengYuanYaoYe	FYYY
000155	*ST川化	ChuanHua	CH
000156	华数传媒	HuaShuChuanMei	HSCM
000157	中联重科	ZhongLianZhongKe	ZLZK
000158	常山股份	ChangShanGuFen	CSGF
000159	国际实业	GuoJiShiYe	GJSY
000301	东方市场	DongFangShiChang	DFSC
000333	美的集团	MeiDeJiTuan	MDJT
000338	潍柴动力	WeiChaiDongLi	WCDL
000400	许继电气	XuJiDianQi	XJDQ
000401	冀东水泥	JiDongShuiNi	JDSN
000402	金融街	JinRongJie	JRJ
000403	S*ST生化	ShengHua	SH
000404	华意压缩	HuaYiYaSuo	HYYS
000405	ST鑫光	XinGuang	XG
000406	大明退市	DaMingTuiShi	DMTS
000407	胜利股份	ShengLiGuFen	SLGF
000408	金谷源	JinGuYuan	JGY
000409	ST泰复	TaiFu	TF
000410	沈阳机床	ShenYangJiChuang	SYJC
000411	英特集团	YingTeJiTuan	YTJT
000412	ST五环	WuHuan	WH
000413	宝石A	BaoShi	BS
000415	渤海租赁	BoHaiZuLin	BHZL
000416	民生投资	MinShengTouZi	MSTZ
000417	合肥百货	HeFeiBaiHuo	HFBH
000418	小天鹅A	XiaoTianE	XTE
000419	通程控股	TongChengKongGu	TCKG
000420	*ST吉纤	JiXian	JX
000421	南京中北	NanJingZhongBei	NJZB
000422	湖北宜化	HuBeiYiHua	HBYH
000423	东阿阿胶	DongAAJiao	DAAJ
000425	徐工机械	XuGongJiXie	XGJX
000426	兴业矿业	XingYeKuangYe	XYKY
000428	华天酒店	HuaTianJiuDian	HTJD
000429	粤高速A	YueGaoSu	YGS
000430	张家界	ZhangJiaJie	ZJJ
000488	晨鸣纸业	ChenMingZhiYe	CMZY
000498	*ST丹化	DanHua	DH
000501	鄂武商A	EWuShang	EWS
000502	绿景控股	LvJingKongGu	LJKG
000503	海虹控股	HaiHongKongGu	HHKG
000504	ST传媒	ChuanMei	CM
000505	ST珠江	ZhuJiang	ZJ
000506	中润资源	ZhongRunZiYuan	ZRZY
000507	珠海港	ZhuHaiGang	ZHG
000509	SST华塑	HuaSu	HS
000510	金路集团	JinLuJiTuan	JLJT
000511	银基发展	YinJiFaZhan	YJFZ
000513	丽珠集团	LiZhuJiTuan	LZJT
000514	渝开发	YuKaiFa	YKF
000515	攀渝钛业	PanYuTaiYe	PYTY
000516	开元投资	KaiYuanTouZi	KYTZ
000517	荣安地产	RongAnDiChan	RADC
000518	四环生物	SiHuanShengWu	SHSW
000519	江南红箭	JiangNanHongJian	JNHJ
000520	长航凤凰	ChangHangFengHuang	CHFH
000521	美菱电器	MeiLingDianQi	MLDQ
000522	白云山A	BaiYunShan	BYS
000523	广州浪奇	GuangZhouLangQi	GZLQ
000524	东方宾馆	DongFangBinGuan	DFBG
000525	红太阳	HongTaiYang	HTY
000526	银润投资	YinRunTouZi	YRTZ
000527	美的电器	MeiDeDianQi	MDDQ
000528	柳工	LiuGong	LG
000529	广弘控股	GuangHongKongGu	GHKG
000530	大冷股份	DaLengGuFen	DLGF
000531	穗恒运A	SuiHengYun	SHY
000532	力合股份	LiHeGuFen	LHGF
000533	万家乐	WanJiaLe	WJL
000534	万泽股份	WanZeGuFen	WZGF
000535	ST猴王	HouWang	HW
000536	华映科技	HuaYingKeJi	HYKJ
000537	广宇发展	GuangYuFaZhan	GYFZ
000538	云南白药	YunNanBaiYao	YNBY
000539	粤电力A	YueDianLi	YDL
000540	中天城投	ZhongTianChengTou	ZTCT
000541	佛山照明	FoShanZhaoMing	FSZM
000542	TCL通讯	TCLTongXun	TCLTX
000543	皖能电力	WanNengDianLi	WNDL
000544	中原环保	ZhongYuanHuanBao	ZYHB
000545	*ST吉药	JiYao	JY
000546	光华控股	GuangHuaKongGu	GHKG
000547	闽福发A	MinFuFa	MFF
